Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
2316	64.76	53.12	1602.94	***	1720.82	8.6	***	2210	6696.3	2332	11.66
2317	66.7	45.99	1564.99	***	1677.68	8.39	***	2211	6699.33	2272	11.36
2318	64.55	39.54	1526.66	***	1630.75	8.15	***	2212	6702.36	2213	11.06
2319	63.93	43.86	1492.38	***	1600.17	8.0	***	2213	6705.39	2165	10.82
2320	56.36	38.8	1448.4	***	1543.56	7.72	***	2214	6708.42	2084	10.42
2321	58.92	44.59	1403.96	***	1507.47	7.54	***	2215	6711.45	2032	10.16
2322	58.85	48.85	1354.38	***	1462.08	7.31	***	2216	6714.48	1973	9.87
2323	58.61	41.69	1318.05	***	1418.35	7.09	***	2217	6717.51	1907	9.54
2324	55.98	52.42	1260.27	***	1368.67	6.84	***	2218	6720.54	1842	9.21
2325	50.75	34.51	1211.88	***	1297.14	6.49	***	2219	6723.57	1753	8.77
2326	48.07	43.8	1150.17	***	1242.04	6.21	***	2220	6726.6	1660	8.3
2327	52.8	56.69	1117.02	***	1226.51	6.13	***	2221	6729.63	1622	8.11
2328	52.87	48.78	1070.63	***	1172.28	5.86	***	2222	6732.66	1547	7.74
2329	48.21	45.25	997.02	***	1090.48	5.45	***	2223	6735.69	1441	7.21
